location,lat,lon,name,address,description,furnishing,facing,water,bathroom,security,non-veg,lift,AC,swimming pool,servant room,gas,sewage treatment,visitor parking,gym,club house,children play area,park,house keeping,internet,intercom,fire safety,shopping center,water harvest,power backup,rent,builtup,deposit,bedroom,house type,preferred tenants,availability,parking,age,balcony
Tambaram,12.937,80.111,Independent House West Tambaram - 4 BHK in West Tambaram for Rent,"Independent House, Bharathi Nagar, Near Ima Headquarters Building","This independent house is well-ventilated and semi furnished ideal for families and working professionals. Located near to IMA Headquarters Building it has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,West,Borewell,4,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,9000/M,1100,50000,4 Bedroom,Independent house,Family, Immediately,Bike and Car,1-3 years,2
Tambaram,12.937,80.099,Independent House Tambaram - 2 BHK in Tambaram for Rent,"Independent House, Kishkintha Main Rd, Vasantam Nagar Behind Lena Flats Or Lords International School","2BHK House with open cupboards , Kitchen covered with shelves , Covered car & bike parking . Family or working professionals ",Unfurnished,East,Borewell,2,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,10000/M,1500,60000,2 Bedroom,Independent house,Doesn't Matter, Immediately,Bike and Car,3-5 years,0
Tambaram,12.922,80.128,Victoria Garden Apartments East Tambaram - 2 BHK in East Tambaram for Rent,"Victoria Garden Apartments, Air Force Station Rd, Near Mcc Campus Matriculation Higher Secondary School",Not available,Full,North,Both,2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,20000/M,1000,100000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,>10 years,1
Tambaram,12.938,80.122,Independent House Tambaram - 2 BHK in Tambaram for Rent,"Independent House, Amar Nagar, Near Kadaperi Substation And E.b Office","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,North,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,13500/M,1200,80000,2 Bedroom,Independent house,Family, Immediately,Bike,5-10 years,0
Tambaram,12.938,80.132,priya ram homes East Tambaram - 2 BHK in East Tambaram for Rent,"Priya Ram Homes, Sai Ram Colony,near Pilayar Kovil And Tambaram Sanatorium Railway Station","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,South,Corporation,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11000/M,792,50000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike,5-10 years,0
Tambaram,12.927,80.129,Ashoka Paradise East Tambaram - 2 BHK in East Tambaram for Rent,"Ashoka Paradise, Agasthiar Street, Near Gandhi Park",Not available,Semi,East,Both,2,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,13500/M,715,67500,2 Bedroom,Apartment,Family, Immediately,Bike,>10 years,0
Tambaram,12.929,80.13,Independent House East Tambaram - 2 BHK in East Tambaram for Rent,"Independent House, Gandhi Nagar, Anndurai St, Near Shanthi Thirumana Mandabam","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,North,Borewell,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9000/M,800,50000,2 Bedroom,Independent house,Bachelor's, Immediately,Bike,5-10 years,0
Tambaram,12.93,80.098,Royal Splendour Akarshana West Tambaram - 2 BHK in West Tambaram for Rent,"Royal Splendour Akarshana, Sri Sai Nagar Extension, Cto Colony, West Tambaram, Chennai","The house is semi furnished with wardrobes,modular kitchen,geyser,tube lights, fans and electrical fittings",Semi,NA,NA,2,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,11000/M,850,60000,2 Bedroom,Apartment,Doesn't Matter,Immediately,Bike and Car,1-3 years,1
Tambaram,12.95,80.129,Independent House Tambaram - 2 BHK in Tambaram for Rent,"Independent House, Durga Nagar Main Rd Near Durgai Amman Temple","The house is semi furnished with wardrobes, It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,South-East,Borewell,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,16000/M,1200,150000,2 Bedroom,Independent house,Family, Immediately,Bike and Car,3-5 years,0
Tambaram,12.923,80.088,Royal Villa Tambaram - 2 BHK in Tambaram for Rent,"Royal Villa, Goodwill Nagar 4th Main Road, Ragavendra Avenue,near Annai Arul Hospital",Newly constructed flat and property at ground floor 24hrs bore water with RO Facility and home is fully covered mosquito net. This apartment is covered 24hrs survilence camera .it is near by 3km from tambaram railway station,Semi,East,Borewell,2,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,10000/M,820,100000,2 Bedroom,Independent house,Family, Immediately,Bike and Car,1-3 years,0
Kelambakkam,13.109,80.208,Shyam Thirth Apartment Villivakkam - 3 BHK in Villivakkam for Rent,"Shyam Thirth Apartment, Railway Station Road, Villivakkam, Chennai, Tamil Nadu, India",Not available,Semi,North,Borewell,2,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,14500/M,1165,145000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,5-10 years,0
